"year_month","year","month","order_count","revenue"
"2013-07","2013","07",22,27861.9
"2013-08","2013","08",25,25485.28
"2013-09","2013","09",23,26381.4
"2013-10","2013","10",26,37515.72
"2013-11","2013","11",25,45600.04
"2013-12","2013","12",31,45239.63
"2014-01","2014","01",33,61258.07
"2014-02","2014","02",29,38483.64
"2014-03","2014","03",30,38547.22
"2014-04","2014","04",31,53032.95
"2014-05","2014","05",32,53781.29
"2014-06","2014","06",30,36362.8
"2014-07","2014","07",33,51020.86
"2014-08","2014","08",33,47287.67
"2014-09","2014","09",37,55629.24
"2014-10","2014","10",38,66749.23
"2014-11","2014","11",34,43533.81
"2014-12","2014","12",48,71398.43
"2015-01","2015","01",55,94222.11
"2015-02","2015","02",54,99415.29
"2015-03","2015","03",73,104854.15
"2015-04","2015","04",74,123798.68
"2015-05","2015","05",14,18333.63
